0001	Potion
082D	Drain/Expert Jewel 4
082E	Fortitude/Expert Jewel 4
082F	Crisis/Expert Jewel 4
0830	Ironwall/Expert Jewel 4
0831	Friendship/Expert Jewel 4
0832	Satiated/Expert Jewel 4
0833	Stonethrower/Expert Jewel 4
0834	Resistor/Expert Jewel 4
0835	Flight/Expert Jewel 4
0836	Sprinter/Expert Jewel 4
0837	Refresh/Expert Jewel 4
0838	Jumping/Expert Jewel 4
0839	Sheath/Expert Jewel 4
083A	Gobbler/Expert Jewel 4
083B	Grinder/Expert Jewel 4
083C	Bomber/Expert Jewel 4
083D	Fungiform/Expert Jewel 4
083E	Slider/Expert Jewel 4
083F	Guardian/Expert Jewel 4
0840	Drain/Release Jewel 4
0841	Fortitude/Release Jewel 4
0842	Crisis/Release Jewel 4
0843	Ironwall/Release Jewel 4
0844	Friendship/Release Jewel 4
0845	Satiated/Release Jewel 4
0846	Stonethrower/Release Jewel 4
0847	Resistor/Release Jewel 4
0848	Flight/Release Jewel 4
0849	Sprinter/Release Jewel 4
084A	Refresh/Release Jewel 4
084B	Jumping/Release Jewel 4
084C	Sheath/Release Jewel 4
084D	Gobbler/Release Jewel 4
084E	Grinder/Release Jewel 4
084F	Bomber/Release Jewel 4
0850	Fungiform/Release Jewel 4
0851	Slider/Release Jewel 4
0852	Guardian/Release Jewel 4
0853	Drain/Handicraft Jewel 4
0854	Fortitude/Handicraft Jewel 4
0855	Crisis/Handicraft Jewel 4
0856	Ironwall/Handicraft Jewel 4
0857	Friendship/Handicraft Jewel 4
0858	Satiated/Handicraft Jewel 4
0859	Stonethrower/Handicraft Jewel 4
085A	Resistor/Handicraft Jewel 4
085B	Flight/Handicraft Jewel 4
085C	Sprinter/Handicraft Jewel 4
085D	Refresh/Handicraft Jewel 4
085E	Jumping/Handicraft Jewel 4
085F	Sheath/Handicraft Jewel 4
0860	Gobbler/Handicraft Jewel 4
0861	Grinder/Handicraft Jewel 4
0862	Bomber/Handicraft Jewel 4
0863	Fungiform/Handicraft Jewel 4
0864	Slider/Handicraft Jewel 4
0865	Guardian/Handicraft Jewel 4
0866	Footing/Protection Jewel 4
0867	Charger/Protection Jewel 4
0868	Enhancer/Protection Jewel 4
0869	Destroyer/Protection Jewel 4
086A	KO/Protection Jewel 4
086B	Potential/Protection Jewel 4
086C	Wind Resist/Protection Jewel 4
086D	Draw/Protection Jewel 4
086E	Throttle/Protection Jewel 4
086F	Challenger/Protection Jewel 4
0870	Flawless/Protection Jewel 4
0871	Furor/Protection Jewel 4
0872	Mighty/Protection Jewel 4
0873	Brace/Protection Jewel 4
0874	Phoenix/Protection Jewel 4
0875	Earplug/Protection Jewel 4
0876	Critical/Protection Jewel 4
0877	Tenderizer/Protection Jewel 4
0878	Handicraft/Protection Jewel 4
0879	Release/Protection Jewel 4
087A	Footing/Medicine Jewel 4
087B	Charger/Medicine Jewel 4
087C	Enhancer/Medicine Jewel 4
087D	Destroyer/Medicine Jewel 4
087E	KO/Medicine Jewel 4
087F	Potential/Medicine Jewel 4
0880	Wind Resist/Medicine Jewel 4
0881	Draw/Medicine Jewel 4
0882	Throttle/Medicine Jewel 4
0883	Challenger/Medicine Jewel 4
0884	Flawless/Medicine Jewel 4
0885	Furor/Medicine Jewel 4
0886	Mighty/Medicine Jewel 4
0887	Brace/Medicine Jewel 4
0888	Phoenix/Medicine Jewel 4
0889	Earplug/Medicine Jewel 4
088A	Critical/Medicine Jewel 4
088B	Tenderizer/Medicine Jewel 4
088C	Handicraft/Medicine Jewel 4
088D	Release/Medicine Jewel 4
088E	Footing/Vitality Jewel 4
088F	Charger/Vitality Jewel 4
0890	Enhancer/Vitality Jewel 4
0891	Destroyer/Vitality Jewel 4
0892	KO/Vitality Jewel 4
0893	Potential/Vitality Jewel 4
0894	Wind Resist/Vitality Jewel 4
0895	Draw/Vitality Jewel 4
0896	Throttle/Vitality Jewel 4
0897	Challenger/Vitality Jewel 4
0898	Flawless/Vitality Jewel 4
0899	Furor/Vitality Jewel 4
089A	Mighty/Vitality Jewel 4
089B	Brace/Vitality Jewel 4
089C	Phoenix/Vitality Jewel 4
089D	Earplug/Vitality Jewel 4
089E	Critical/Vitality Jewel 4
089F	Tenderizer/Vitality Jewel 4
08A0	Handicraft/Vitality Jewel 4
08A1	Release/Vitality Jewel 4
08A2	Footing/Maintenance Jewel 4
08A3	Charger/Maintenance Jewel 4
08A4	Enhancer/Maintenance Jewel 4
08A5	Destroyer/Maintenance Jewel 4
08A6	KO/Maintenance Jewel 4
08A7	Potential/Maintenance Jewel 4
08A8	Wind Resist/Maintenance Jewel 4
08A9	Draw/Maintenance Jewel 4
08AA	Throttle/Maintenance Jewel 4
08AB	Challenger/Maintenance Jewel 4
08AC	Flawless/Maintenance Jewel 4
08AD	Furor/Maintenance Jewel 4
08AE	Mighty/Maintenance Jewel 4
08AF	Brace/Maintenance Jewel 4
08B0	Phoenix/Maintenance Jewel 4
08B1	Earplug/Maintenance Jewel 4
08B2	Critical/Maintenance Jewel 4
08B3	Tenderizer/Maintenance Jewel 4
08B4	Handicraft/Maintenance Jewel 4
08B5	Release/Maintenance Jewel 4
08B6	Footing/Physique Jewel 4
08B7	Charger/Physique Jewel 4
08B8	Enhancer/Physique Jewel 4
08B9	Destroyer/Physique Jewel 4
08BA	KO/Physique Jewel 4
08BB	Potential/Physique Jewel 4
08BC	Wind Resist/Physique Jewel 4
08BD	Draw/Physique Jewel 4
08BE	Throttle/Physique Jewel 4
08BF	Challenger/Physique Jewel 4
08C0	Flawless/Physique Jewel 4
08C1	Furor/Physique Jewel 4
08C2	Mighty/Physique Jewel 4
08C3	Brace/Physique Jewel 4
08C4	Phoenix/Physique Jewel 4
08C5	Earplug/Physique Jewel 4
08C6	Critical/Physique Jewel 4
08C7	Tenderizer/Physique Jewel 4
08C8	Handicraft/Physique Jewel 4
08C9	Release/Physique Jewel 4
08CA	Footing/Evasion Jewel 4
08CB	Charger/Evasion Jewel 4
08CC	Enhancer/Evasion Jewel 4
08CD	Destroyer/Evasion Jewel 4
08CE	KO/Evasion Jewel 4
08CF	Potential/Evasion Jewel 4
08D0	Wind Resist/Evasion Jewel 4
08D1	Draw/Evasion Jewel 4
08D2	Throttle/Evasion Jewel 4
08D3	Challenger/Evasion Jewel 4
08D4	Flawless/Evasion Jewel 4
08D5	Furor/Evasion Jewel 4
08D6	Mighty/Evasion Jewel 4
08D7	Brace/Evasion Jewel 4
08D8	Phoenix/Evasion Jewel 4
08D9	Earplug/Evasion Jewel 4
08DA	Critical/Evasion Jewel 4
08DB	Tenderizer/Evasion Jewel 4
08DC	Handicraft/Evasion Jewel 4
08DD	Release/Evasion Jewel 4
08DE	Survival Jewel 1
08DF	Item 2271
08E0	Warming Jewel 2
08E1	Item 2273
08E2	Item 2274
08E3	Item 2275
08E4	Item 2276
08E5	Item 2277
08E6	Item 2278
08E7	Item 2279
08E8	Item 2280
08E9	Item 2281
08EA	Item 2282
08EB	Item 2283
08EC	Item 2284
08ED	Item 2285
08EE	Item 2286
08EF	Item 2287
08F0	Item 2288
08F1	Item 2289
08F2	Item 2290
08F3	Item 2291
08F4	Item 2292
08F5	Item 2293
08F6	Item 2294
08F7	Item 2295
08F8	Item 2296
08F9	Item 2297
08FA	Item 2298
08FB	Item 2299
08FC	Item 2300
08FD	Item 2301
08FE	Item 2302
08FF	Item 2303
0900	Item 2304
0901	Item 2305
0902	Item 2306
0903	Item 2307
0904	Item 2308
0905	Item 2309
0906	Item 2310
0907	Item 2311
0908	Item 2312
0909	Item 2313
090A	Item 2314
090B	Item 2315
090C	Item 2316
090D	Item 2317
090E	Item 2318
090F	Item 2319
0910	Item 2320
0911	Item 2321
0912	Item 2322
0913	Item 2323
0914	Item 2324
0915	Item 2325
0916	Item 2326
0917	Item 2327
0918	Item 2328
0919	Item 2329
091A	Item 2330
091B	Item 2331
091C	Item 2332
091D	Item 2333
091E	Item 2334
091F	Item 2335
0920	Item 2336
0921	Item 2337
0922	Item 2338
0923	Item 2339
0924	Item 2340
0925	Item 2341
0926	Item 2342
0927	Item 2343
0928	Item 2344
0929	Item 2345
092A	Item 2346
092B	Item 2347
092C	Item 2348
092D	Item 2349
092E	Item 2350
092F	Item 2351
0930	Item 2352
0931	Item 2353
0932	Item 2354
0933	Item 2355
0934	Item 2356
0935	Item 2357
0936	Item 2358
0937	Item 2359
0938	Item 2360
0939	Item 2361
093A	Item 2362
093B	Item 2363
093C	Item 2364
093D	Item 2365
093E	Item 2366
093F	Item 2367
0940	Item 2368
0941	Item 2369
0942	Item 2370
0943	Item 2371
0944	Item 2372
0945	Item 2373
0946	Item 2374
0947	Item 2375
0948	Item 2376
0949	Item 2377
094A	Item 2378
094B	Item 2379
094C	Item 2380
094D	Item 2381
094E	Item 2382
094F	Item 2383
0950	Item 2384
0951	Item 2385
0952	Item 2386
0953	Item 2387
0954	Item 2388
0955	Item 2389
0956	Item 2390
0957	Item 2391
0958	Item 2392
0959	Item 2393
095A	Item 2394
095B	Item 2395
095C	Item 2396
095D	Item 2397
095E	Item 2398
095F	Item 2399
0960	Item 2400
0961	Item 2401
0962	Item 2402
0963	Item 2403
0964	Item 2404
0965	Item 2405
0966	Item 2406
0967	Item 2407
0968	Item 2408
0969	Item 2409
096A	Item 2410
096B	Item 2411
096C	Item 2412
096D	Plum Flower Pot
096E	Decorative Tree
096F	Item 2415
0970	Item 2416
0971	Item 2417
0972	Item 2418
0973	Item 2419
0974	Item 2420
0975	Item 2421
0976	Item 2422
0977	Item 2423
0978	Item 2424
0979	Item 2425
097A	Item 2426
097B	Item 2427
097C	Item 2428
097D	Item 2429
097E	Felyne Balloon
097F	Grimalkyne Balloon (White)
0980	Grimalkyne Balloon (Black)
0981	Gajalaka Balloon
0982	Item 2434
0983	Item 2435
0984	Item 2436
0985	Item 2437
0986	Item 2438
0987	Item 2439
0988	Item 2440
0989	Item 2441
098A	Item 2442
098B	Item 2443
098C	Item 2444
098D	Item 2445
098E	Item 2446
098F	Item 2447
0990	Item 2448
0991	Item 2449
0992	Item 2450
0993	Item 2451
0994	Item 2452
0995	Item 2453
0996	Item 2454
0997	Joyful Lanterns
0998	Sky Lantern Lights
0999	Item 2457
099A	Item 2458
099B	Item 2459
099C	Item 2460
099D	Item 2461
099E	Item 2462
099F	Item 2463
09A0	Item 2464
09A1	Item 2465
09A2	Item 2466
09A3	Item 2467
09A4	Item 2468
09A5	Item 2469
09A6	Item 2470
09A7	Item 2471
09A8	Item 2472
09A9	Item 2473
09AA	Paper Lantern
09AB	Item 2475
09AC	Round Paper Lanterns
09AD	Item 2477
09AE	Item 2478
09AF	Item 2479
09B0	Item 2480
09B1	Item 2481
09B2	Item 2482
09B3	Item 2483
09B4	Item 2484
09B5	Item 2485
09B6	Item 2486
09B7	Item 2487
09B8	Item 2488
09B9	Item 2489
09BA	Item 2490
09BB	Item 2491
09BC	Item 2492
09BD	Item 2493
09BE	Item 2494
09BF	Item 2495
09C0	Item 2496
09C1	Item 2497
09C2	Item 2498
09C3	Item 2499
09C4	Item 2500
09C5	Item 2501
09C6	Item 2502
09C7	Item 2503
09C8	Item 2504
09C9	Item 2505
09CA	Item 2506
09CB	Item 2507
09CC	Item 2508
09CD	Item 2509
09CE	Item 2510
09CF	Item 2511
09D0	Item 2512
09D1	Item 2513
09D2	Item 2514
09D3	Item 2515
09D4	Item 2516
09D5	Item 2517
09D6	Item 2518
09D7	Item 2519
09D8	Item 2520
09D9	Item 2521
09DA	Item 2522
09DB	Item 2523
09DC	Item 2524
09DD	Item 2525
09DE	Item 2526
09DF	Item 2527
09E0	Item 2528
09E1	Item 2529
09E2	Joyful Platter
09E3	Luxury Platter
09E4	Item 2532
09E5	Item 2533
09E6	Item 2534
09E7	Item 2535
09E8	Item 2536
09E9	Item 2537
09EA	Item 2538
09EB	Item 2539
09EC	Item 2540
09ED	Item 2541
09EE	Item 2542
09EF	Item 2543
09F0	Item 2544
09F1	Item 2545
09F2	Item 2546
09F3	Item 2547
09F4	Item 2548
09F5	Item 2549
09F6	Item 2550
09F7	Item 2551
09F8	Item 2552
09F9	Item 2553
09FA	Item 2554
09FB	Item 2555
09FC	Item 2556
09FD	Item 2557
09FE	Item 2558
09FF	Item 2559
0A00	Item 2560
0A01	Item 2561
0A02	Item 2562
0A03	Item 2563
0A04	Item 2564
0A05	Grand Appreciation Figure
0A06	Item 2566
0A07	Item 2567
0A08	(Room)Green Herb
0A09	(Room) Red Herb
0A0A	(Room) Blue Herb
0A0B	First Aid Sprays
0A0C	Mr. Raccoon
0A0D	Creepy Rugs (1F)
0A0E	Creepy Rugs (2F)
0A0F	S.T.A.R.S. Plaque Set 1
0A10	S.T.A.R.S. Plaque Set 2
0A11	Typewriter
0A12	(Room) Item Box
0A13	Item 2579
0A14	Item 2580
0A15	Joyful Snowman
0A16	Appreciative Snowman
0A17	Item 2583
0A18	Item 2584
0A19	Item 2585
0A1A	Sky Lanterns
0A1B	Item 2587
0A1C	Item 2588
0A1D	Item 2589
0A1E	Item 2590
0A1F	Item 2591
0A20	Item 2592
0A21	Item 2593
0A22	Item 2594
0A23	Masterpiece Sketches
0A24	Item 2596
0A25	Item 2597
0A26	Item 2598
0A27	Item 2599
0A28	Item 2600
0A29	Item 2601
0A2A	Item 2602
0A2B	Item 2603
0A2C	Item 2604
0A2D	Item 2605
0A2E	Item 2606
0A2F	Item 2607
0A30	Item 2608
0A31	Item 2609
0A32	Item 2610
0A33	Item 2611
0A34	Item 2612
0A35	Item 2613
0A36	Item 2614
0A37	Item 2615
0A38	Item 2616
0A39	Item 2617
0A3A	Item 2618
0A3B	Item 2619
0A3C	Item 2620
0A3D	Item 2621
0A3E	Item 2622
0A3F	Item 2623
0A40	Item 2624
0A41	Item 2625
0A42	Item 2626
0A43	Item 2627
0A44	Item 2628
0A45	Item 2629
0A46	Item 2630
0A47	Item 2631
0A48	Item 2632
0A49	Item 2633
0A4A	Item 2634
0A4B	Item 2635
0A4C	Item 2636
0A4D	Item 2637
0A4E	Item 2638
0A4F	Item 2639
0A50	Item 2640
0A51	Item 2641
0A52	Item 2642
0A53	Item 2643
0A54	Item 2644
0A55	Item 2645
0A56	Item 2646
0A57	Item 2647
0A58	Item 2648
0A59	Item 2649
0A5A	Item 2650
0A5B	Item 2651
0A5C	Item 2652
0A5D	Item 2653
0A5E	Item 2654
0A5F	Item 2655
0A60	Item 2656
0A61	Item 2657
0A62	Item 2658
0A63	Item 2659
0A64	Item 2660
0A65	Item 2661
0A66	Item 2662
0A67	Item 2663
0A68	Item 2664
0A69	Item 2665
0A6A	Item 2666
0A6B	Item 2667
0A6C	Item 2668
0A6D	Item 2669
0A6E	Item 2670
0A6F	Item 2671
0A70	Item 2672
0A71	Item 2673
0A72	Item 2674
0A73	Freezer Ticket
0A74	Pearlspring Ticket
0A75	Snowball
0A76	Snowman
0A77	Item 2679
0A78	Item 2680
0A79	Item 2681
0A7A	Item 2682
0A7B	Green Herb
0A7C	Red Herb
0A7D	Mixed Herb (G+R)
0A7E	Steel Melding Ticket
0A7F	Silver Melding Ticket
0A80	Steel Melding Feystone
0A81	Silver Melding Feystone
0A82	Gold Melding Ticket
0A83	Astral Melding Ticket
0A84	Gold Melding Feystone
0A85	Astral Melding Feystone
0A86	Item 2694
0A87	Item 2695
0A88	Item 2696
0A89	Item 2697
0A8A	Item 2698
0A8B	Item 2699
0A8C	Item 2700
0A8D	Item 2701
0A8E	Item 2702
0A8F	Item 2703
0A90	Black Eagle Blueprint
0A91	Wiggler Pot
0A92	S.T.A.R.S. Badge
0A93	Item 2707
0A94	Item 2708
0A95	Item 2709
0A96	Joyful Ticket
0A97	Penguin Ticket
0A98	Sealed Dragon Cloth
0A99	Buff Ticket
0A9A	Pickaxe Ticket
0A9B	Gratitude Ticket
0A9C	Wyverian Ticket
0A9D	Fest Ticket
0A9E	Meaty Canteen Ticket
0A9F	Item 2719
0AA0	Item 2720
0AA1	Item 2721
0AA2	Item 2722
0AA3	Item 2723
0AA4	Item 2724
0AA5	Item 2725
0AA6	Item 2726
0AA7	Item 2727
0AA8	Item 2728
0AA9	Item 2729
0AAA	Unity Symbol
0AAB	Item 2731
0AAC	Item 2732
0AAD	Large Beast Tear
0AAE	Magnificent Pelt
0AAF	VIP Joyful Ticket
0AB0	VIP Gratitude Ticket
